,date_daily,symbol,marketcapname_daily,sector_daily,Date_daily,date_volume,marketcapname_volume,sector_volume,Date_volume,CumulativeCount
303,23-05-2025,COCHINSHIP,Largecap,Aerospace & Defence,2025-05-23,19-03-2025,Largecap,Aerospace & Defence,2025-03-19,4.0
304,23-05-2025,RATNAVEER,Smallcap,Metals,2025-05-23,22-11-2024,Smallcap,Metals,2024-11-22,2.0
305,23-05-2025,RRKABEL,Midcap,Industrials,2025-05-23,05-05-2025,Midcap,Industrials,2025-05-05,1.0
306,23-05-2025,KRISHANA,Smallcap,Industrials,2025-05-23,15-01-2025,Smallcap,Industrials,2025-01-15,2.0
307,23-05-2025,INDIACEM,Midcap,Industrials,2025-05-23,23-12-2024,Midcap,Industrials,2024-12-23,1.0
308,23-05-2025,URJA,Smallcap,Auto,2025-05-23,,,,,
309,23-05-2025,SUNCLAY,Midcap,Industrials,2025-05-23,,,,,
310,23-05-2025,AZAD,Midcap,Aerospace & Defence,2025-05-23,04-11-2024,Midcap,Aerospace & Defence,2024-11-04,2.0
311,23-05-2025,IFGLEXPOR,Smallcap,Industrials,2025-05-23,12-05-2025,Smallcap,Industrials,2025-05-12,1.0
312,23-05-2025,NAM-INDIA,Largecap,Finance,2025-05-23,10-12-2024,Largecap,Finance,2024-12-10,2.0
313,23-05-2025,SARLAPOLY,Smallcap,Textiles,2025-05-23,27-11-2024,Smallcap,Textiles,2024-11-27,6.0
314,23-05-2025,IEX,Midcap,Financial Services,2025-05-23,,,,,
315,23-05-2025,INOXINDIA,Midcap,Services,2025-05-23,,,,,
316,23-05-2025,MASFIN,Midcap,Finance,2025-05-23,21-05-2025,Midcap,Finance,2025-05-21,1.0
317,23-05-2025,SBILIFE,Largecap,Services,2025-05-23,25-04-2025,Largecap,Services,2025-04-25,1.0
318,23-05-2025,TFCILTD,Smallcap,Finance,2025-05-23,22-11-2024,Smallcap,Finance,2024-11-22,2.0
319,23-05-2025,BLUEJET,Midcap,Pharmaceuticals,2025-05-23,17-12-2024,Midcap,Pharmaceuticals,2024-12-17,4.0
320,23-05-2025,ZOTA,Smallcap,Pharmaceuticals,2025-05-23,16-12-2024,Smallcap,Pharmaceuticals,2024-12-16,2.0
321,23-05-2025,FILATEX,Smallcap,Textiles,2025-05-23,,,,,
322,23-05-2025,YATRA,Smallcap,I.T,2025-05-23,15-05-2025,Smallcap,I.T,2025-05-15,1.0
323,23-05-2025,ABCAPITAL,Largecap,Finance,2025-05-23,30-10-2024,Largecap,Finance,2024-10-30,2.0
324,23-05-2025,NUVAMA,Largecap,Services,2025-05-23,,,,,
325,23-05-2025,ZAGGLE,Midcap,I.T,2025-05-23,,,,,
326,23-05-2025,POONAWALLA,Largecap,Finance,2025-05-23,28-10-2024,Largecap,Finance,2024-10-28,2.0
327,23-05-2025,IDEAFORGE,Smallcap,Aerospace & Defence,2025-05-23,19-03-2025,Smallcap,Aerospace & Defence,2025-03-19,2.0
328,23-05-2025,GHCLTEXTIL,Smallcap,Textiles,2025-05-23,05-05-2025,Smallcap,Textiles,2025-05-05,1.0
329,23-05-2025,INOXGREEN,Midcap,Miscellaneous,2025-05-23,02-12-2024,Midcap,Miscellaneous,2024-12-02,4.0
330,23-05-2025,KAYNES,Largecap,FMCG,2025-05-23,,,,,
331,23-05-2025,DCXINDIA,Smallcap,Aerospace & Defence,2025-05-23,17-12-2024,Smallcap,Aerospace & Defence,2024-12-17,3.0
332,23-05-2025,WEBELSOLAR,Midcap,FMCG,2025-05-23,,,,,
333,23-05-2025,MINDTECK,Smallcap,I.T,2025-05-23,26-11-2024,Smallcap,I.T,2024-11-26,4.0
334,23-05-2025,MOTHERSON,Largecap,Auto,2025-05-23,15-04-2025,Largecap,Auto,2025-04-15,1.0
335,23-05-2025,HBLENGINE,Midcap,Auto,2025-05-23,06-12-2024,Midcap,Auto,2024-12-06,3.0
336,23-05-2025,SUBROS,Smallcap,Auto,2025-05-23,21-02-2025,Smallcap,Auto,2025-02-21,1.0
337,23-05-2025,VISHNU,Smallcap,Industrials,2025-05-23,24-10-2024,Smallcap,Industrials,2024-10-24,2.0
338,23-05-2025,SYRMA,Midcap,FMCG,2025-05-23,28-10-2024,Midcap,FMCG,2024-10-28,5.0
339,23-05-2025,ASAHIINDIA,Midcap,Industrials,2025-05-23,22-04-2025,Midcap,Industrials,2025-04-22,1.0
340,23-05-2025,SANGAMIND,Smallcap,Textiles,2025-05-23,15-01-2025,Smallcap,Textiles,2025-01-15,2.0
341,23-05-2025,VARDMNPOLY,Smallcap,Textiles,2025-05-23,,,,,
342,23-05-2025,WELSPUNLIV,Midcap,Textiles,2025-05-23,18-03-2025,Midcap,Textiles,2025-03-18,2.0
343,23-05-2025,HIMATSEIDE,Smallcap,Textiles,2025-05-23,24-10-2024,Smallcap,Textiles,2024-10-24,3.0
344,23-05-2025,SSWL,Smallcap,Auto,2025-05-23,10-12-2024,Smallcap,Auto,2024-12-10,1.0
345,23-05-2025,PENIND,Smallcap,Metals,2025-05-23,18-10-2024,Smallcap,Metals,2024-10-18,2.0
346,23-05-2025,PARADEEP,Midcap,Industrials,2025-05-23,29-10-2024,Midcap,Industrials,2024-10-29,1.0
347,23-05-2025,DELHIVERY,Largecap,Services,2025-05-23,06-12-2024,Largecap,Services,2024-12-06,2.0
348,23-05-2025,AVANTIFEED,Midcap,FMCG,2025-05-23,16-12-2024,Midcap,FMCG,2024-12-16,2.0
349,23-05-2025,NAHARINDUS,Smallcap,Textiles,2025-05-23,03-04-2025,Smallcap,Textiles,2025-04-03,2.0
350,23-05-2025,DHARMAJ,Smallcap,Industrials,2025-05-23,,,,,
351,23-05-2025,NFL,Smallcap,Industrials,2025-05-23,15-05-2025,Smallcap,Industrials,2025-05-15,1.0
352,23-05-2025,ELIN,Smallcap,FMCG,2025-05-23,,,,,
353,23-05-2025,DREDGECORP,Smallcap,Miscellaneous,2025-05-23,16-04-2025,Smallcap,Miscellaneous,2025-04-16,3.0
354,23-05-2025,PRECWIRE,Smallcap,Metals,2025-05-23,19-05-2025,Smallcap,Metals,2025-05-19,1.0
355,23-05-2025,JMFINANCIL,Midcap,Finance,2025-05-23,,,,,
356,23-05-2025,DCMSRIND,Smallcap,FMCG,2025-05-23,10-12-2024,Smallcap,FMCG,2024-12-10,2.0
357,23-05-2025,BALMLAWRIE,Smallcap,Miscellaneous,2025-05-23,20-02-2025,Smallcap,Miscellaneous,2025-02-20,1.0
358,23-05-2025,AVALON,Midcap,FMCG,2025-05-23,07-11-2024,Midcap,FMCG,2024-11-07,2.0
359,23-05-2025,JAYNECOIND,Smallcap,Metals,2025-05-23,03-01-2025,Smallcap,Metals,2025-01-03,2.0
360,23-05-2025,RAMRAT,Smallcap,Metals,2025-05-23,21-05-2025,Smallcap,Metals,2025-05-21,1.0
361,23-05-2025,GVT&D,Largecap,FMCG,2025-05-23,,,,,
362,23-05-2025,MAYURUNIQ,Smallcap,FMCG,2025-05-23,09-05-2025,Smallcap,FMCG,2025-05-09,1.0
363,23-05-2025,TIMKEN,Largecap,Industrials,2025-05-23,11-02-2025,Largecap,Industrials,2025-02-11,2.0
364,23-05-2025,WINDMACHIN,Smallcap,FMCG,2025-05-23,07-11-2024,Smallcap,FMCG,2024-11-07,2.0
365,23-05-2025,AARTIPHARM,Midcap,Pharmaceuticals,2025-05-23,26-12-2024,Midcap,Pharmaceuticals,2024-12-26,3.0
366,23-05-2025,ALOKINDS,Midcap,Textiles,2025-05-23,15-01-2025,Midcap,Textiles,2025-01-15,1.0
367,23-05-2025,TRIDENT,Midcap,Textiles,2025-05-23,09-12-2024,Midcap,Textiles,2024-12-09,3.0
368,23-05-2025,ICIL,Midcap,Textiles,2025-05-23,09-12-2024,Midcap,Textiles,2024-12-09,2.0
369,23-05-2025,JAMNAAUTO,Smallcap,Auto,2025-05-23,,,,,
370,23-05-2025,RADIANTCMS,Smallcap,Miscellaneous,2025-05-23,02-04-2025,Smallcap,Miscellaneous,2025-04-02,1.0
371,23-05-2025,CCL,Midcap,FMCG,2025-05-23,06-05-2025,Midcap,FMCG,2025-05-06,1.0
372,23-05-2025,PNBHOUSING,Largecap,Finance,2025-05-23,,,,,
