,symbol
0,MOREPENLAB
1,PUNJABCHEM
2,FAZE3Q
3,ASAHISONG
4,APTECHT
5,TVSELECT
6,PARAGMILK
7,RAJRATAN
8,KPRMILL
9,NAHARSPING
10,DYCL
11,SMLISUZU
12,HBLENGINE
13,NIVABUPA
14,CERA
15,SYRMA
16,CUPID
17,TI
18,RELINFRA
19,WELSPUNLIV
20,MENONBE
21,GPTINFRA
22,WHIRLPOOL
23,GABRIEL
24,RPOWER
25,DBREALTY
26,OSWALAGRO
27,KIRLOSENG
28,SAMHI
29,MASTERTR
30,NAHARINDUS
31,AARTIDRUGS
32,DREDGECORP
33,UTTAMSUGAR
34,VADILALIND
35,INDIAGLYCO
36,JBMA
37,BUTTERFLY
38,NUVOCO
39,ASTRAMICRO
40,MANINDS
41,IPL
