,symbol
1905,KRYSTAL
1906,IRISDOREME
1907,MOIL
1908,RAILTEL
1909,NUVOCO
1910,SPORTKING
1911,HINDPETRO
1912,KSL
1913,GESHIP
1914,HIRECT
1915,UNIVCABLES
1916,MASTERTR
1917,SEQUENT
1918,ASHIMASYN
1919,GHCLTEXTIL
1920,NETWEB
1921,NDGL
1922,RRKABEL
1923,AZAD
1924,APOLLO
1925,ATGL
1926,SWIGGY
1927,ADANIPORTS
1928,ADANIPOWER
1929,DLINKINDIA
1930,PARAGMILK
1931,CCL
1932,POLYMED
1933,TATVA
1934,GREENLAM
1935,PEL
1936,TNPETRO
1937,HIMATSEIDE
1938,WELSPUNLIV
1939,SYRMA
1940,AARTIDRUGS
1941,GOKEX
1942,KPRMILL
1943,PAYTM
1944,PDSL
1945,VINCOFE
1946,SPAL
1947,ENDURANCE
1948,GINNIFILA
1949,NAHARSPING
1950,GRINDWELL
1951,MHLXMIRU
1952,SYMPHONY
1953,NAHARINDUS
1954,SHRIPISTON
1955,SHANKARA
1956,KRISHANA
1957,PRIVISCL
1958,NRBBEARING
1959,NIVABUPA
1960,ASAHISONG
1961,KPRMILL
1962,PAVNAIND
1963,BUTTERFLY
1964,MAYURUNIQ
1965,IDEAFORGE
1966,PREMEXPLN
1967,APOLLO
1968,BDL
1969,PLATIND
1970,BORORENEW
1971,NDRAUTO
1972,CERA
1973,UNIONBANK
1974,ASTRAMICRO
1975,YESBANK
1976,KPRMILL
1977,SJS
1978,COMSYN
