,date_x,symbol,marketcapname_x,sector_x,date_y,marketcapname_y,sector_y,cumulative_sum
0,2024-09-27,BAJFINANCE,Largecap,Finance,,,,
1,2024-09-27,ABREL,Largecap,Industrials,2025-03-03,Largecap,Industrials,1.0
2,2024-09-27,BEPL,Smallcap,Oils,,,,
3,2024-09-27,BLUESTARCO,Largecap,FMCG,2025-03-03,Largecap,FMCG,1.0
4,2024-09-27,KCP,Smallcap,Industrials,,,,
5,2024-09-27,CGPOWER,Largecap,FMCG,,,,
6,2024-09-27,TITAN,Largecap,Miscellaneous,,,,
7,2024-09-27,ESTER,Smallcap,Services,,,,
8,2024-09-27,UFLEX,Smallcap,Services,,,,
9,2024-09-27,GODFRYPHLP,Largecap,FMCG,,,,
10,2024-09-27,GODREJIND,Largecap,Industrials,,,,
11,2024-09-27,HDFCBANK,Largecap,Bank,,,,
12,2024-09-27,HEROMOTOCO,Largecap,Auto,2025-05-15,Largecap,Auto,1.0
13,2024-09-27,HFCL,Midcap,Telecom,2025-05-12,Midcap,Telecom,1.0
14,2024-09-27,HSCL,Largecap,Industrials,,,,
15,2024-09-27,INDIAGLYCO,Midcap,FMCG,2025-05-13,Midcap,FMCG,2.0
16,2024-09-27,JSWSTEEL,Largecap,Metals,,,,
17,2024-09-27,KAJARIACER,Midcap,Industrials,,,,
18,2024-09-27,TRENT,Largecap,FMCG,,,,
19,2024-09-27,LUPIN,Largecap,Pharmaceuticals,,,,
20,2024-09-27,MFSL,Largecap,Finance,,,,
21,2024-09-27,MOREPENLAB,Smallcap,Pharmaceuticals,2025-04-24,Smallcap,Pharmaceuticals,2.0
22,2024-09-27,VEDL,Largecap,Industrials,,,,
23,2024-09-27,PEL,Largecap,Finance,2025-05-07,Largecap,Finance,1.0
24,2024-09-27,OSWALAGRO,Smallcap,Services,2025-04-17,Smallcap,Services,2.0
25,2024-09-27,PIXTRANS,Smallcap,FMCG,,,,
26,2024-09-27,SURYAROSNI,Midcap,Metals,,,,
27,2024-09-27,PRIMESECU,Smallcap,Finance,,,,
28,2024-09-27,JINDALSAW,Midcap,Metals,,,,
29,2024-09-27,RELINFRA,Midcap,Realty,2025-03-26,Midcap,Realty,2.0
30,2024-09-27,SPMLINFRA,Smallcap,Realty,,,,
