,date_x,symbol,marketcapname_x,sector_x,date_y,marketcapname_y,sector_y,cumulative_sum
0,2024-09-26,BAJFINANCE,Largecap,Finance,,,,
1,2024-09-26,BALRAMCHIN,Midcap,FMCG,2025-03-19,Midcap,FMCG,2.0
2,2024-09-26,ABREL,Largecap,Industrials,2025-03-03,Largecap,Industrials,1.0
3,2024-09-26,BEPL,Smallcap,Oils,,,,
4,2024-09-26,KCP,Smallcap,Industrials,,,,
5,2024-09-26,CESC,Largecap,Miscellaneous,,,,
6,2024-09-26,SUNDARMFIN,Largecap,Finance,,,,
7,2024-09-26,DALMIASUG,Smallcap,FMCG,2025-05-14,Smallcap,FMCG,1.0
8,2024-09-26,ORISSAMINE,Smallcap,Industrials,2025-04-21,Smallcap,Industrials,2.0
9,2024-09-26,HINDPETRO,Largecap,Industrials,2025-05-05,Largecap,Industrials,1.0
10,2024-09-26,TITAN,Largecap,Miscellaneous,,,,
11,2024-09-26,DCW,Smallcap,Oils,,,,
12,2024-09-26,EIDPARRY,Midcap,FMCG,,,,
13,2024-09-26,ELECTCAST,Midcap,Industrials,2025-05-19,Midcap,Industrials,2.0
14,2024-09-26,EPL,Midcap,Services,2025-05-12,Midcap,Services,1.0
15,2024-09-26,ESTER,Smallcap,Services,,,,
16,2024-09-26,GODFRYPHLP,Largecap,FMCG,,,,
17,2024-09-26,GODREJIND,Largecap,Industrials,,,,
18,2024-09-26,HDFCBANK,Largecap,Bank,,,,
19,2024-09-26,HEROMOTOCO,Largecap,Auto,2025-05-15,Largecap,Auto,1.0
20,2024-09-26,HFCL,Midcap,Telecom,2025-05-12,Midcap,Telecom,1.0
21,2024-09-26,HSCL,Largecap,Industrials,,,,
22,2024-09-26,AGI,Midcap,Services,,,,
23,2024-09-26,INDIAGLYCO,Midcap,FMCG,2025-05-13,Midcap,FMCG,2.0
24,2024-09-26,INFY,Largecap,I.T,,,,
25,2024-09-26,KAJARIACER,Midcap,Industrials,,,,
26,2024-09-26,LUPIN,Largecap,Pharmaceuticals,,,,
27,2024-09-26,MFSL,Largecap,Finance,,,,
28,2024-09-26,CENTENKA,Smallcap,Textiles,,,,
29,2024-09-26,PEL,Largecap,Finance,2025-05-07,Largecap,Finance,1.0
30,2024-09-26,NIITLTD,Smallcap,I.T,2025-04-23,Smallcap,I.T,1.0
31,2024-09-26,OSWALAGRO,Smallcap,Services,2025-04-17,Smallcap,Services,2.0
32,2024-09-26,PIXTRANS,Smallcap,FMCG,,,,
33,2024-09-26,PRIMESECU,Smallcap,Finance,,,,
34,2024-09-26,JINDALSAW,Midcap,Metals,,,,
35,2024-09-26,RELINFRA,Midcap,Realty,2025-03-26,Midcap,Realty,2.0
36,2024-09-26,THERMAX,Largecap,FMCG,2025-04-24,Largecap,FMCG,1.0
37,2024-09-26,TORNTPHARM,Largecap,Pharmaceuticals,,,,
38,2024-09-26,UNIENTER,Smallcap,Services,,,,
39,2024-09-26,TATACOMM,Largecap,Telecom,2025-03-11,Largecap,Telecom,1.0
40,2024-09-26,BAJAJHLDNG,Largecap,Finance,2025-05-19,Largecap,Finance,1.0
41,2024-09-26,ESCORTS,Largecap,Auto,,,,
42,2024-09-26,M&M,Largecap,Auto,,,,
43,2024-09-26,VOLTAS,Largecap,FMCG,,,,
44,2024-09-26,DEEPAKFERT,Midcap,Industrials,,,,
45,2024-09-26,GRWRHITECH,Midcap,Services,,,,
46,2024-09-26,HINDUNILVR,Largecap,FMCG,,,,
47,2024-09-26,BRITANNIA,Largecap,FMCG,,,,
48,2024-09-26,COLPAL,Largecap,FMCG,,,,
49,2024-09-26,INDHOTEL,Largecap,Services,,,,
50,2024-09-26,ITC,Largecap,FMCG,,,,
51,2024-09-26,CEATLTD,Midcap,Auto,2025-04-30,Midcap,Auto,1.0
52,2024-09-26,BBTC,Midcap,Auto,,,,
